APP_expression,Amyloid_deposition_z
7.81153846153846,2.65079365079365
7.94230769230769,2.36507936507936
7.95576923076923,1.55555555555556
8.01538461538462,2.44444444444444
8.06730769230769,2.22222222222222
8.10384615384615,0.73015873015873
8.175,1.34920634920635
8.24230769230769,1.74603174603175
8.14615384615385,2.03174603174603
8.13269230769231,2.15873015873016
8.11153846153846,2.57142857142857
8.15384615384615,2.57142857142857
8.11538461538462,3.22222222222222
8.13269230769231,2.93650793650794
8.12884615384615,3.04761904761905
8.12884615384615,3.11111111111111
8.15192307692308,3.38095238095238
8.15,3.26984126984127
8.18269230769231,4.07936507936508
8.22692307692308,4.47619047619048
8.22884615384615,3.76190476190476
8.19423076923077,3.19047619047619
8.225,2.79365079365079
8.23076923076923,2.82539682539683
8.25192307692308,2.76190476190476
8.23846153846154,3.3968253968254
8.27307692307692,3.71428571428571
8.33846153846154,3.82539682539683
8.325,3.50793650793651
8.30384615384615,3.0952380952381
8.34230769230769,3.03174603174603
8.29230769230769,2.92063492063492
8.29230769230769,2.85714285714286
8.35,2.58730158730159
