region,Amyloid_deposition_z_MAPT,MAPT_expression,Amyloid_deposition_z_APP,APP_expression,diff,Amyloid_deposition_z
ctx-lh-medialorbitofrontal,2.2090395480226,8.46834532374101,4.07936507936508,8.18269230769231,1.87032553134248,4.07936507936508
ctx-lh-lateraloccipital,4.06214689265537,8.46834532374101,2.22222222222222,8.06730769230769,1.83992467043315,2.22222222222222
ctx-lh-caudalmiddlefrontal,2.36723163841808,8.39352517985612,3.0952380952381,8.30384615384615,0.72800645682002,3.0952380952381
ctx-lh-paracentral,3.07909604519774,8.39352517985612,2.36507936507936,7.94230769230769,0.71401668011838,2.36507936507936
ctx-lh-cuneus,3.04519774011299,8.33453237410072,3.11111111111111,8.12884615384615,0.06591337099812,3.04519774011299
ctx-lh-superiortemporal,3.10169491525424,8.53597122302158,3.04761904761905,8.12884615384615,0.05407586763519,3.10169491525424
ctx-lh-precuneus,4.45762711864407,8.58201438848921,4.47619047619048,8.22692307692308,0.01856335754641,4.46690879741728
ctx-lh-isthmuscingulate,2.84180790960452,8.62374100719424,2.85714285714286,8.29230769230769,0.01533494753834,2.84947538337369
ctx-lh-bankssts,3.8135593220339,8.64532374100719,3.82539682539683,8.33846153846154,0.01183750336293,3.81947807371536
ctx-lh-precentral,1.75706214689266,8.50575539568345,1.74603174603175,8.24230769230769,0.01103040086091,1.75154694646221
ctx-lh-rostralmiddlefrontal,3.49717514124294,8.39928057553957,3.50793650793651,8.325,0.01076136669357,3.50255582458972
ctx-lh-parahippocampal,1.33898305084746,8.53021582733813,1.34920634920635,8.175,0.01022329835889,1.34409470002691
ctx-lh-inferiorparietal,3.25988700564972,8.56187050359712,3.26984126984127,8.15,0.00995426419155,3.26486413774549
ctx-lh-posteriorcingulate,3.18079096045198,8.49136690647482,3.19047619047619,8.19423076923077,0.00968523002421,3.18563357546408
ctx-lh-temporalpole,1.56497175141243,8.47553956834532,1.55555555555556,7.95576923076923,0.00941619585687,1.560263653484
ctx-lh-middletemporal,3.3728813559322,8.62086330935252,3.38095238095238,8.15192307692308,0.00807102502018,3.37691686844229
ctx-lh-inferiortemporal,3.21468926553672,8.65971223021583,3.22222222222222,8.11538461538462,0.0075329566855,3.21845574387947
ctx-lh-fusiform,2.81920903954802,8.63093525179856,2.82539682539683,8.23076923076923,0.00618778584881,2.82230293247243
ctx-lh-caudalanteriorcingulate,2.15254237288136,8.50287769784173,2.15873015873016,8.13269230769231,0.0061877858488,2.15563626580576
ctx-lh-parsorbitalis,2.5819209039548,8.78057553956834,2.58730158730159,8.35,0.00538068334679,2.58461124562819
ctx-lh-rostralanteriorcingulate,3.75706214689266,8.54748201438849,3.76190476190476,8.22884615384615,0.0048426150121,3.75948345439871
ctx-lh-transversetemporal,2.93220338983051,8.4726618705036,2.93650793650794,8.13269230769231,0.00430454667743,2.93435566316922
ctx-lh-postcentral,2.02824858757062,8.55467625899281,2.03174603174603,8.14615384615385,0.00349744417541,2.02999730965832
ctx-lh-superiorparietal,2.79661016949153,8.73309352517986,2.79365079365079,8.225,0.00295937584074,2.79513048157116
ctx-lh-frontalpole,3.71186440677966,8.24532374100719,3.71428571428571,8.27307692307692,0.00242130750605,3.71307506053268
ctx-lh-lateralorbitofrontal,3.03389830508475,8.43669064748202,3.03174603174603,8.34230769230769,0.00215227333872,3.03282216841539
ctx-lh-pericalcarine,2.44632768361582,8.45539568345324,2.44444444444444,8.01538461538462,0.00188323917138,2.44538606403013
ctx-lh-superiorfrontal,3.3954802259887,8.56906474820144,3.3968253968254,8.23846153846154,0.0013451708367,3.39615281140705
ctx-lh-entorhinal,0.728813559322035,8.49280575539568,0.73015873015873,8.10384615384615,0.001345170836695,0.729486144740383
ctx-lh-parstriangularis,2.64971751412429,8.21798561151079,2.65079365079365,7.81153846153846,0.00107613666936,2.65025558245897
ctx-lh-lingual,2.57062146892655,8.45251798561151,2.57142857142857,8.15384615384615,0.00080710250202,2.57102502017756
ctx-lh-insula,2.57062146892655,8.5,2.57142857142857,8.11153846153846,0.00080710250202,2.57102502017756
ctx-lh-supramarginal,2.76271186440678,8.72589928057554,2.76190476190476,8.25192307692308,0.00080710250202,2.76230831315577
ctx-lh-parsopercularis,2.92090395480226,8.4568345323741,2.92063492063492,8.29230769230769,0.00026903416734,2.92076943771859
